lineItem/referenceNo,lineItem/tenantId,lineItem/intervalUsageStart,lineItem/intervalUsageEnd,product/service,product/resource,product/compartmentId,product/compartmentName,product/region,product/availabilityDomain,product/resourceId,usage/consumedQuantity,usage/billedQuantity,usage/consumedQuantityUnits,usage/consumedQuantityMeasure,lineItem/isCorrection,lineItem/backreferenceNo,tags/Oracle-Tags.CreatedBy,tags/Oracle-Tags.CreatedOn,tags/orcl-cloud.free-tier-retained
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+OTybORYKIWkXrLXQKesL==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T00:00Z,2022-03-01T01:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+ZMyEFYlxqdZyubtHtGFr==,default/sharonholmes@gmail.com,2022-03-01T01:48:20.000Z,
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+MZeyTsmzrhaSNooHQQLV==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T01:00Z,2022-03-01T02:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+jgFhJMXnbxWxtTSvhJxY==,default/sharonholmes@gmail.com,2022-03-01T02:46:41.000Z,true
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+DMSJxkyQMjLyIDTWDksa==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T02:00Z,2022-03-01T03:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+GBKJOtWAyEDyOraWxzon==,default/sharonholmes@gmail.com,,true
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+fKCBuIMPwqCRGqXQkoeA==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T03:00Z,2022-03-01T04:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+ucpxZHDgpNukjfRQLdzS==,default/sharonholmes@gmail.com,,true
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+LbULlIfvRZnQSFimNaNn==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T04:00Z,2022-03-01T05:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+XCEwFzFFyWbWUkawngCb==,default/sharonholmes@gmail.com,2022-03-01T04:08:02.000Z,
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+VlpLqaWawYktUgURSMAg==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T05:00Z,2022-03-01T06:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+yAxuVrBhhOxOjoaiOdqP==,default/sharonholmes@gmail.com,2022-03-01T06:33:01.000Z,true
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+vqZcCpfywoWdlMHoyjvG==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T06:00Z,2022-03-01T07:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+KrdzXxCbPfuIHTuuHLbz==,default/sharonholmes@gmail.com,,true
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+TtJbaaNwOjtLsPJMjwUZ==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T07:00Z,2022-03-01T08:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+AKdkzancyLsDjJPdvfHu==,default/sharonholmes@gmail.com,,true
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+affyqCUNuOsQFkDbqblK==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T08:00Z,2022-03-01T09:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+jbEyUhTTBCOBDrxzUuZv==,default/sharonholmes@gmail.com,,true
V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+DFegRyOXEdYCvoMrxyYQ==,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,2022-03-01T09:00Z,2022-03-01T10:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..UGRTyoMfgRXLOZUvzKxZLJfdoncjHkiCXSJAengltAMLePc,sharonholmes,ap-hyderabad-1,zSJb:AP-HYDERABAD-1-AD-1,ocid1.instance.oci.ap-hyderabad-1.kKybmmXZPbpzbWaHweVVUBwLCgOIwIQusm,622891174,287938630,GB_MS,STORAGE_SIZE,true,V2.XjCqRPpauBDIPdRPXQsOPedCZDSrClkDuYWWiFgram+BFehvHNXqIYtRjhTIPXm==,default/sharonholmes@gmail.com,2022-03-01T09:30:18.000Z,
